"column_name","data_type"
"id_fato","integer"
"id___imdb","varchar"
"id_tmdb___tmdb","integer"
"titulopincipal___imdb","varchar"
"titulooriginal___imdb","varchar"
"anolancamento___imdb","integer"
"release_date___tmdb","date"
"release_decade","bigint"
"tempominutos___imdb","integer"
"notamedia___imdb","real"
"numerovotos___imdb","integer"
"vote_average___tmdb","real"
"budget___tmdb","integer"
"revenue___tmdb","integer"
"financial_result","integer"
"roi","double"
"id_colecao","integer"
"id_producao","integer"
"id_pais","integer"
"id_artista","integer"
"id_genero","integer"
"id_detalhes","integer"
"id_idioma","integer"
"colecao_id","integer"
"collection_id___tmdb","integer"
"collection_name___tmdb","varchar"
"produtora_id","integer"
"company_name_dim","varchar"
"company_id_dim","integer"
"pais_id","integer"
"country_iso_dim","varchar"
"country_name_dim","varchar"
"artista_id","integer"
"nomeartista___imdb","varchar"
"generoartista___imdb","varchar"
"personagem___imdb","varchar"
"anonascimento___imdb","integer"
"anofalecimento___imdb","integer"
"profissao___imdb","varchar"
"titulosmaisconhecidos___imdb","varchar"
"genero_id","integer"
"genero","varchar"
"genre___tmdb","varchar"
"detalhes_id","integer"
"overview___tmdb","varchar"
"poster_path___tmdb","varchar"
"backdrop_path___tmdb","varchar"
"adult___tmdb","boolean"
"homepage___tmdb","varchar"
"status___tmdb","varchar"
"tagline___tmdb","varchar"
"video___tmdb","boolean"
"source_file___tmdb","varchar"
"popularity___tmdb","real"
"idioma_id","integer"
"original_language","varchar"
